,NAME,YEAR,EVENT_TYPE,DEATHS,INJURIES,DAMAGE_PROPERTY,TEMPERATURE,DATE
221,BOND,1950,Tornado,20.0,25.0,2500000.0,34.94,02-DEC-50 16:00:00
220,MADISON,1950,Tornado,0.0,0.0,2500000.0,34.94,02-DEC-50 16:00:00
141,AUSTIN,1950,Tornado,0.0,2.0,2500000.0,34.94,05-JUN-50 16:00:00
73,BURT,1950,Tornado,0.0,33.0,2500000.0,34.94,15-JUL-50 17:30:00
52,ST. LOUIS,1950,Tornado,0.0,3.0,2500000.0,34.94,03-JAN-50 11:00:00
127,ALLEN,1950,Tornado,0.0,30.0,2500000.0,34.94,19-JUL-50 15:15:00
214,SCOTT,1950,Tornado,0.0,0.0,2500000.0,34.94,02-JUL-50 19:00:00
0,WASHITA,1950,Tornado,0.0,0.0,250000.0,34.94,28-APR-50 14:45:00
167,GOVE,1950,Tornado,0.0,0.0,250000.0,34.94,06-AUG-50 18:30:00
140,WASHINGTON,1950,Tornado,0.0,6.0,250000.0,34.94,05-JUN-50 15:55:00
345,HENNEPIN,1951,Tornado,50.0,40.0,25000000.0,34.43,20-JUL-51 21:00:00
304,SANTA CLARA,1951,Tornado,0.0,0.0,2500000.0,34.43,11-JAN-51 10:25:00
343,ANOKA,1951,Tornado,10.0,9.0,2500000.0,34.43,19-JUN-51 19:00:00
401,FULTON,1951,Tornado,0.0,2.0,2500000.0,34.43,21-JUN-51 20:00:00
400,PULASKI,1951,Tornado,0.0,2.0,2500000.0,34.43,21-JUN-51 19:50:00
488,LOGAN,1951,Tornado,10.0,15.0,2500000.0,34.43,27-JUN-51 20:45:00
487,LOGAN,1951,Tornado,0.0,35.0,2500000.0,34.43,27-JUN-51 19:30:00
342,MCLEOD,1951,Tornado,0.0,11.0,2500000.0,34.43,19-JUN-51 17:30:00
370,YOUNG,1951,Tornado,20.0,100.0,2500000.0,34.43,18-MAY-51 15:45:00
359,HANCOCK,1951,Tornado,0.0,5.0,2500000.0,34.43,28-APR-51 20:55:00
615,PETTIS,1952,Tornado,10.0,13.0,25000000.0,35.05,21-AUG-52 00:20:00
675,SWIFT,1952,Tornado,0.0,0.0,2500000.0,35.05,23-JUN-52 16:30:00
757,HARDEMAN,1952,Tornado,40.0,14.0,2500000.0,35.05,21-MAR-52 23:30:00
591,WOODRUFF,1952,Tornado,290.0,180.0,2500000.0,35.05,21-MAR-52 17:30:00
640,HENNEPIN,1952,Tornado,0.0,5.0,2500000.0,35.05,23-JUN-52 23:30:00
639,NICOLLET,1952,Tornado,0.0,0.0,2500000.0,35.05,23-JUN-52 22:00:00
638,BROWN,1952,Tornado,0.0,5.0,2500000.0,35.05,23-JUN-52 20:50:00
649,PEMISCOT,1952,Tornado,170.0,100.0,2500000.0,35.05,21-MAR-52 20:00:00
637,COTTONWOOD,1952,Tornado,0.0,0.0,2500000.0,35.05,23-JUN-52 20:30:00
727,ST. MARY,1952,Tornado,0.0,3.0,2500000.0,35.05,04-APR-52 03:30:00
892,WORCESTER,1953,Tornado,900.0,1228.0,250000000.0,38.68,09-JUN-53 14:25:00
1196,HOUSTON,1953,Tornado,180.0,300.0,25000000.0,38.68,30-APR-53 16:13:00
1106,MCLENNAN,1953,Tornado,1140.0,597.0,25000000.0,38.68,11-MAY-53 16:10:00
1114,LAPEER,1953,Tornado,0.0,59.0,25000000.0,38.68,08-JUN-53 20:15:00
938,GENESEE,1953,Tornado,1160.0,785.0,25000000.0,38.68,08-JUN-53 19:30:00
1021,CHAMPAIGN,1953,Tornado,0.0,5.0,25000000.0,38.68,09-APR-53 17:15:00
939,GENESEE,1953,Tornado,0.0,0.0,25000000.0,38.68,08-JUN-53 19:50:00
810,WARREN,1953,Tornado,380.0,270.0,25000000.0,38.68,05-DEC-53 17:45:00
1193,MUSCOGEE,1953,Tornado,20.0,300.0,25000000.0,38.68,18-APR-53 17:50:00
1022,VERMILION,1953,Tornado,10.0,5.0,25000000.0,38.68,09-APR-53 17:45:00
1850,CHATTAHOOCHEE,1954,Tornado,20.0,20.0,25000000.0,37.19,13-MAR-54 20:45:00
1317,LINCOLN,1954,Tornado,0.0,0.0,2500000.0,37.19,01-MAY-54 18:00:00
1318,CREEK,1954,Tornado,0.0,0.0,2500000.0,37.19,01-MAY-54 18:00:00
1315,POTTAWATOMIE,1954,Tornado,0.0,0.0,2500000.0,37.19,01-MAY-54 18:00:00
1316,LINCOLN,1954,Tornado,0.0,65.0,2500000.0,37.19,01-MAY-54 18:00:00
1500,JONES,1954,Tornado,0.0,25.0,2500000.0,37.19,28-DEC-54 18:00:00
1664,MADISON,1954,Tornado,0.0,2.0,2500000.0,37.19,28-MAR-54 16:50:00
1851,TAYLOR,1954,Tornado,0.0,10.0,2500000.0,37.19,13-MAR-54 21:20:00
1369,YATES,1954,Tornado,0.0,0.0,2500000.0,37.19,14-JUL-54 16:30:00
1313,HUGHES,1954,Tornado,0.0,6.0,2500000.0,37.19,01-MAY-54 18:00:00
2008,KAY,1955,Tornado,200.0,280.0,25000000.0,33.49,25-MAY-55 21:26:00
3075,DU PAGE,1955,Tornado,0.0,3.0,2500000.0,33.49,28-APR-55 21:05:00
2535,LYON,1955,Tornado,10.0,13.0,2500000.0,33.49,07-JUL-55 15:00:00
1952,DARKE,1955,Tornado,0.0,1.0,2500000.0,33.49,15-NOV-55 19:30:00
3150,BIBB,1955,Tornado,0.0,2.0,2500000.0,33.49,21-MAY-55 13:30:00
3151,JONES,1955,Tornado,0.0,0.0,2500000.0,33.49,21-MAY-55 13:30:00
2492,MORGAN,1955,Tornado,50.0,20.0,2500000.0,33.49,24-APR-55 05:45:00
2827,FANNIN,1955,Tornado,0.0,0.0,2500000.0,33.49,06-APR-55 03:00:00
3211,KANE,1955,Tornado,0.0,0.0,2500000.0,33.49,28-APR-55 21:00:00
2824,GRAYSON,1955,Tornado,10.0,27.0,2500000.0,33.49,06-APR-55 02:30:00
1865,CASS,1955,Hail,0.0,0.0,0.0,33.49,22-SEP-55 16:10:00
2801,ANDERSON,1955,Hail,0.0,0.0,0.0,33.49,26-MAY-55 21:30:00
2793,HALL,1955,Hail,0.0,0.0,0.0,33.49,25-MAY-55 16:00:00
2792,HALL,1955,Hail,0.0,0.0,0.0,33.49,25-MAY-55 16:00:00
2770,CANADIAN,1955,Hail,0.0,0.0,0.0,33.49,27-JUN-55 20:30:00
2769,MCCLAIN,1955,Hail,0.0,0.0,0.0,33.49,27-JUN-55 16:00:00
2768,KINGFISHER,1955,Hail,0.0,0.0,0.0,33.49,23-JUN-55 16:30:00
2762,CARTER,1955,Hail,0.0,0.0,0.0,33.49,18-JUN-55 00:28:00
2758,nan,1955,Hail,0.0,0.0,0.0,33.49,06-APR-55 14:20:00
2754,YORK,1955,Hail,0.0,0.0,0.0,33.49,12-JUN-55 12:30:00
1867,CHILTON,1955,Thunderstorm,0.0,0.0,0.0,33.49,10-JUN-55 15:00:00
2774,GARVIN,1955,Thunderstorm,0.0,0.0,0.0,33.49,15-JUL-55 15:30:00
2867,KINGFISHER,1955,Thunderstorm,0.0,0.0,0.0,33.49,17-JUN-55 18:30:00
2862,OKLAHOMA,1955,Thunderstorm,0.0,0.0,0.0,33.49,16-JUN-55 00:08:00
2860,OKLAHOMA,1955,Thunderstorm,0.0,0.0,0.0,33.49,15-JUN-55 23:55:00
2850,PUEBLO,1955,Thunderstorm,0.0,0.0,0.0,33.49,15-AUG-55 16:40:00
2846,DALLAS,1955,Thunderstorm,0.0,0.0,0.0,33.49,14-MAY-55 18:50:00
2843,SMITH,1955,Thunderstorm,0.0,0.0,0.0,33.49,15-MAY-55 18:39:00
