YEAR	EVENT_TYPE	DEATHS	INJURIES	DAMAGE_PROPERTY	TAVG
1950	Tornado	20	25	2500000	11.1
1950	Tornado	0	0	2500000	11.95
1950	Tornado	0	2	2500000	23.6
1950	Tornado	0	33	2500000	23.05
1950	Tornado	0	3	2500000	8.05
1950	Tornado	0	30	2500000	20.85
1950	Tornado	0	0	2500000	24.45
1950	Tornado	0	0	250000	19.75
1950	Tornado	0	0	250000	23.9
1950	Tornado	0	6	250000	23.6
1951	Tornado	50	40	25000000	20.8
1951	Tornado	0	0	2500000	9.75
1951	Tornado	10	9	2500000	20
1951	Tornado	0	2	2500000	18.65
1951	Tornado	0	2	2500000	18.65
1951	Tornado	10	15	2500000	23.9
1951	Tornado	0	35	2500000	23.9
1951	Tornado	0	11	2500000	19.15
1951	Tornado	20	100	2500000	22.2
1951	Tornado	0	5	2500000	19.7
1952	Tornado	10	13	25000000	26.1
1952	Tornado	0	0	2500000	21.95
1952	Tornado	40	14	2500000	18.3
1952	Tornado	290	180	2500000	20
1952	Tornado	0	5	2500000	23.05
1952	Tornado	0	0	2500000	19.45
1952	Tornado	0	5	2500000	19.45
1952	Tornado	170	100	2500000	18.6
1952	Tornado	0	0	2500000	19.75
1952	Tornado	0	3	2500000	15.55
1953	Tornado	900	1228	250000000	20.25
1953	Tornado	180	300	25000000	21.95
1953	Tornado	10	5	25000000	16.95
1953	Tornado	1140	597	25000000	21.95
1953	Tornado	0	59	25000000	18.6
1953	Tornado	1160	785	25000000	18.6
1953	Tornado	0	0	25000000	18.6
1953	Tornado	0	5	25000000	17.2
1953	Tornado	20	300	25000000	15
1953	Tornado	380	270	25000000	15.8
1954	Tornado	20	20	25000000	23.05
1954	Tornado	0	0	2500000	16.1
1954	Tornado	0	0	2500000	16.65
1954	Tornado	0	0	2500000	15.6
1954	Tornado	0	65	2500000	16.95
1954	Tornado	0	25	2500000	15.85
1954	Tornado	0	2	2500000	10.3
1954	Tornado	0	10	2500000	21.15
1954	Tornado	0	0	2500000	26.1
1954	Tornado	0	6	2500000	17.5
1955	Tornado	200	280	25000000	19.45
1955	Tornado	0	3	2500000	14.15
1955	Tornado	10	27	2500000	18.1
1955	Tornado	0	1	2500000	13.6
1955	Tornado	50	20	2500000	21.7
1955	Tornado	0	2	2500000	23.05
1955	Tornado	0	0	2500000	23.05
1955	Tornado	0	0	2500000	18.1
1955	Tornado	0	0	2500000	14.15
1955	Tornado	10	13	2500000	25.55
1955	Hail	0	0	0	20.55
1955	Hail	0	0	0	26.95
1955	Hail	0	0	0	27.75
1955	Hail	0	0	0	27.75
1955	Hail	0	0	0	28.05
1955	Hail	0	0	0	28.3
1955	Hail	0	0	0	24.15
1955	Hail	0	0	0	23.3
1955	Hail	0	0	0	16.95
1955	Hail	0	0	0	20
1955	Thunderstorm	0	0	0	22.8
1955	Thunderstorm	0	0	0	28.9
1955	Thunderstorm	0	0	0	23.05
1955	Thunderstorm	0	0	0	20.85
1955	Thunderstorm	0	0	0	23.05
1955	Thunderstorm	0	0	0	21.4
1955	Thunderstorm	0	0	0	27.5
1955	Thunderstorm	0	0	0	25
1955	Thunderstorm	0	0	0	22.8
1955	Thunderstorm	0	0	0	25
1956	Tornado	0	0	2500000	16.7
1956	Tornado	10	6	2500000	20.25
1956	Tornado	0	12	2500000	21.4
1956	Tornado	0	0	2500000	10.25
1956	Tornado	0	9	2500000	20.25
1956	Tornado	0	20	2500000	18.05
1956	Tornado	30	60	2500000	22.8
1956	Tornado	0	0	2500000	20.3
1956	Tornado	0	30	2500000	21.15
1956	Tornado	0	3	2500000	20.3
1956	Hail	0	0	0	24.45
1956	Hail	0	0	0	23.35
1956	Hail	0	0	0	25.25
1956	Hail	0	0	0	20.3
1956	Hail	0	0	0	25
1956	Hail	0	0	0	25
1956	Hail	0	0	0	23.9
1956	Hail	0	0	0	24.75
1956	Hail	0	0	0	23.35
1956	Hail	0	0	0	28.9
1956	Thunderstorm	0	0	0	28.9
1956	Thunderstorm	0	0	0	10.3
1956	Thunderstorm	0	0	0	24.15
1956	Thunderstorm	0	0	0	24.75
1956	Thunderstorm	0	0	0	23.05
1956	Thunderstorm	0	0	0	18.3
1956	Thunderstorm	0	0	0	20.25
1956	Thunderstorm	0	0	0	12.75
1956	Thunderstorm	0	0	0	18.6
1956	Thunderstorm	0	0	0	19.75
1957	Tornado	100	103	25000000	21.35
1957	Tornado	80	49	25000000	23.05
1957	Tornado	0	0	25000000	23.05
1957	Tornado	0	1	25000000	23.05
1957	Tornado	0	6	2500000	23.3
1957	Tornado	40	20	2500000	19.7
1957	Tornado	0	0	2500000	16.15
1957	Tornado	0	0	2500000	16.15
1957	Tornado	0	0	2500000	15.55
1957	Tornado	0	0	2500000	15.55
1957	Hail	0	0	0	29.45
1957	Hail	0	0	0	17.5
1957	Hail	0	0	0	25.25
1957	Hail	0	0	0	25.25
1957	Hail	0	0	0	19.45
1957	Hail	0	0	0	19.45
1957	Hail	0	0	0	16.1
1957	Hail	0	0	0	16.95
1957	Hail	0	0	0	16.4
1957	Hail	0	0	0	16.1
1957	Thunderstorm	0	0	0	26.15
1957	Thunderstorm	0	0	0	23.05
1957	Thunderstorm	0	0	0	21.7
1957	Thunderstorm	0	0	0	21.7
1957	Thunderstorm	0	0	0	24.15
1957	Thunderstorm	0	0	0	17.8
1957	Thunderstorm	0	0	0	21.95
1957	Thunderstorm	0	0	0	24.2
1957	Thunderstorm	0	0	0	24.45
1957	Thunderstorm	0	0	0	21.4
1958	Tornado	0	0	25000000	20
1958	Tornado	200	54	25000000	20.55
1958	Tornado	10	20	25000000	20.55
1958	Tornado	0	10	2500000	11.95
1958	Tornado	150	5	2500000	27.8
1958	Tornado	0	3	2500000	20
1958	Tornado	40	3	2500000	19.15
1958	Tornado	0	0	2500000	13.6
1958	Tornado	10	24	2500000	11.95
1958	Tornado	0	0	2500000	11.1
1958	Hail	0	0	0	18.05
1958	Hail	0	0	0	26.1
1958	Hail	0	0	0	20
1958	Hail	0	0	0	22.5
1958	Hail	0	0	0	13.85
1958	Hail	0	0	0	23.85
1958	Hail	0	0	0	22.8
1958	Hail	0	0	0	17.8
1958	Hail	0	0	0	15.85
1958	Hail	0	0	0	21.95
1958	Thunderstorm	0	0	0	24.45
1958	Thunderstorm	0	0	0	16.4
1958	Thunderstorm	0	0	0	28.05
1958	Thunderstorm	0	0	0	27.75
1958	Thunderstorm	0	0	0	17.2
1958	Thunderstorm	0	0	0	16.35
1958	Thunderstorm	0	0	0	24.45
1958	Thunderstorm	0	0	0	21.65
1958	Thunderstorm	0	0	0	14.7
1958	Thunderstorm	0	0	0	19.15
1959	Tornado	100	170	25000000	3.05
1959	Tornado	110	175	25000000	5.25
1959	Tornado	0	77	2500000	25
1959	Tornado	0	1	2500000	18.6
1959	Tornado	0	6	2500000	16.7
1959	Tornado	0	3	2500000	18.05
1959	Tornado	0	16	2500000	19.75
1959	Tornado	0	0	250000	21.4
1959	Tornado	10	2	250000	20.55
1959	Tornado	0	10	250000	20.25
1959	Hail	0	0	0	18.05
1959	Hail	0	0	0	17.5
1959	Hail	0	0	0	23.05
1959	Hail	0	0	0	22.75
1959	Hail	0	0	0	22.75
1959	Hail	0	0	0	26.1
1959	Hail	0	0	0	25.25
1959	Hail	0	0	0	25.85
1959	Hail	0	0	0	21.15
1959	Hail	0	0	0	18.35
1959	Thunderstorm	0	0	0	26.65
1959	Thunderstorm	0	0	0	17.8
1959	Thunderstorm	0	0	0	27.5
1959	Thunderstorm	0	0	0	26.1
1959	Thunderstorm	0	0	0	23.6
1959	Thunderstorm	0	0	0	25
1959	Thunderstorm	0	0	0	23.6
1959	Thunderstorm	0	0	0	25
1959	Thunderstorm	0	0	0	23.6
1959	Thunderstorm	0	0	0	24.75
1960	Tornado	0	9	25000000	22.75
1960	Tornado	0	12	25000000	21.7
1960	Tornado	0	1	2500000	25
1960	Tornado	30	6	2500000	20
1960	Tornado	0	3	2500000	21.4
1960	Tornado	0	12	2500000	23.6
1960	Tornado	0	0	2500000	19.15
1960	Tornado	10	24	2500000	20.85
1960	Tornado	0	57	2500000	17.8
1960	Tornado	10	91	2500000	21.95
1960	Hail	0	0	0	14.2
1960	Hail	0	0	0	19.7
1960	Hail	0	0	0	30.55
1960	Hail	0	0	0	27.5
1960	Hail	0	0	0	27.5
1960	Hail	0	0	0	18.65
1960	Hail	0	0	0	21.95
1960	Hail	0	0	0	20.85
1960	Hail	0	0	0	27.5
1960	Hail	0	0	0	25.3
1960	Thunderstorm	0	0	0	28.35
1960	Thunderstorm	0	0	0	23.65
1960	Thunderstorm	0	0	0	26.4
1960	Thunderstorm	0	0	0	22.5
1960	Thunderstorm	0	0	0	22.2
1960	Thunderstorm	0	0	0	28.9
1960	Thunderstorm	0	0	0	25.55
1960	Thunderstorm	0	0	0	22.2
1960	Thunderstorm	0	0	0	25.25
1960	Thunderstorm	0	0	0	29.7
1961	Tornado	10	115	25000000	9.15
1961	Tornado	0	2	2500000	25.85
1961	Tornado	0	0	2500000	19.45
1961	Tornado	0	1	2500000	20
1961	Tornado	30	9	2500000	20
1961	Tornado	0	0	2500000	15.3
1961	Tornado	0	2	2500000	24.45
1961	Tornado	10	55	2500000	25.55
1961	Tornado	0	0	2500000	19.7
1961	Tornado	0	2	2500000	20
1961	Hail	0	0	0	20
1961	Hail	0	0	0	27.5
