YEAR	DEATHS	TAVG	SUMEVENTS
1950	700	18.29	23
1951	340	18.67	17
1952	2310	18.76	37
1953	5190	18.87	53
1954	360	20.28	21
1955	1280	20.78	21
1956	830	18.62	20
1957	1930	18.64	51
1958	670	18.19	21
1959	580	17.42	16
1960	460	20.1	17
1961	520	18.42	21
1962	300	21.39	10
1963	310	17.86	17
1964	730	18.62	18
1965	3010	14.61	57
1966	980	20.26	12
1967	1140	18.5	30
1968	1310	20.22	28
1969	660	19.82	15
1970	730	20.64	23
1971	1590	16.69	31
1972	270	18.07	12
1973	890	19.21	42
1974	3660	18.86	98
1975	600	17.77	30
1976	440	18.78	29
1977	430	19.22	15
1978	530	21.24	19
1979	840	19.31	21
1980	280	22.28	20
1981	240	19.61	14
1982	640	19.46	33
1983	370	19.51	30
1984	1600	18.75	65
1985	1120	20.35	39
1986	510	21.33	34
1987	890	22.33	39
1988	550	21.57	39
1989	790	18.55	38
1990	950	20.57	45
1991	730	19.71	42
1992	520	19.02	29
1993	690	11.74	27
1994	630	18.76	32
1995	294	17.74	47
1996	2080	8.37	144
1997	2600	12.51	141
1998	3360	15.87	160
1999	2320	16.14	141
2000	1580	14.11	116
2001	1570	14.99	103
2002	1470	14.14	100
2003	2190	13.4	123
2004	1630	17.04	115
2005	11220	17.45	101
2006	2552	13.13	166
2007	2512	12.47	461
2008	2036	11.87	515
2009	1292	10.63	375
2010	2530	13.23	455
2011	4414	14.69	591
2012	2536	15.79	407
2013	833	12.81	374
2014	1315	9.34	351
2015	1992	12.85	462
2016	3782	14.36	381
2017	1005	16.53	306
